Date,Price,Open,High,Low,Vol,Change_pct
2025-12-01,47.7,47.58,47.818,47.33,nan,0.25%
2025-11-01,47.58,47.24,47.94,46.97,nan,0.72%
2025-10-01,47.24,47.85,48.23,47.14,nan,-1.27%
2025-09-01,47.85,48.58,48.675,47.79,nan,-1.50%
2025-08-01,48.58,48.63,48.86,48.22,nan,0.02%
2025-07-01,48.57,49.59,49.86,48.57,nan,-2.08%
2025-06-01,49.6,49.72,50.975,49.415,nan,-0.24%
2025-05-01,49.72,50.79,50.855,49.685,nan,-2.18%
2025-04-01,50.83,50.57,51.725,50.54,nan,0.51%
2025-03-01,50.57,50.65,50.77,50.4288,nan,-0.16%
2025-02-01,50.65,50.23,50.7988,50.185,nan,0.84%
2025-01-01,50.23,50.84,50.885,50.145,nan,-1.10%
2024-12-01,50.79,49.59,51.175,49.55,nan,2.52%
2024-11-01,49.54,48.93,49.98,48.83,nan,1.31%
2024-10-01,48.9,48.28,49.0,48.1912,nan,1.39%
2024-09-01,48.23,48.62,48.7675,48.2363,nan,-0.70%
2024-08-01,48.57,48.56,49.5713,48.55,nan,0.12%
2024-07-01,48.51,48.03,48.675,47.825,nan,1.10%
2024-06-01,47.98,47.27,48.84,47.05,nan,1.61%
2024-05-01,47.22,47.85,48.15,46.52,nan,-1.21%
2024-04-01,47.8,47.23,48.88,47.06,nan,1.27%
2024-03-01,47.2,30.9,50.8,30.8,nan,53.00%
2024-02-01,30.85,30.9,30.9499,30.8,nan,0.00%
2024-01-01,30.85,30.9,30.9499,30.8,nan,0.00%
2023-12-01,30.85,30.9,30.9499,30.8,nan,0.00%
2023-11-01,30.85,30.9499,30.9499,30.8,nan,-0.16%
2023-10-01,30.9,30.9,30.9499,30.8,nan,0.16%
2023-09-01,30.85,30.9,30.9499,30.8,nan,0.00%
2023-08-01,30.85,30.9,30.9499,30.8,nan,0.00%
2023-07-01,30.85,30.9,30.9499,30.8,nan,0.00%
2023-06-01,30.85,30.9,30.9499,30.8,nan,0.00%
2023-05-01,30.85,30.9,30.9499,30.8,nan,0.00%
2023-04-01,30.85,30.915,30.9599,30.78,nan,0.33%
2023-03-01,30.75,30.615,30.955,30.53,nan,0.56%
2023-02-01,30.58,30.165,30.68,30.065,nan,1.49%
2023-01-01,30.13,24.72,32.2,24.68,nan,21.79%
2022-12-01,24.74,24.555,24.775,24.51,nan,0.98%
2022-11-01,24.5,24.0,24.605,24.0,nan,1.45%
2022-10-01,24.15,19.54,24.255,19.44,nan,23.91%
2022-09-01,19.49,19.2113,19.5875,19.14,nan,1.46%
2022-08-01,19.21,18.94,19.2575,18.92,nan,1.48%
2022-07-01,18.93,18.805,18.985,18.775,nan,0.91%
2022-06-01,18.76,18.58,18.865,18.515,nan,0.97%
2022-05-01,18.58,18.48,18.63,18.24,nan,0.70%
2022-04-01,18.45,18.29,18.595,18.21,nan,1.21%
2022-03-01,18.23,15.69,18.565,15.64,nan,16.41%
2022-02-01,15.66,15.69,15.7675,15.6825,nan,0.00%
2022-01-01,15.66,15.71,15.7614,15.67,nan,0.00%
2021-12-01,15.66,15.71,15.7587,15.66,nan,-0.50%
2021-11-01,15.739,15.7,15.8025,15.62,nan,0.50%
2021-10-01,15.66,15.69,15.753,15.62,nan,-0.19%
2021-09-01,15.69,15.68,15.75,15.64,nan,0.26%
2021-08-01,15.65,15.7,15.745,15.655,nan,-0.13%
2021-07-01,15.67,15.68,15.74,15.62,nan,0.06%
2021-06-01,15.66,15.66,15.7295,15.625,nan,0.00%
2021-05-01,15.66,15.685,15.74,15.58,nan,0.32%
2021-04-01,15.61,15.69,15.7745,15.57,nan,-0.41%
2021-03-01,15.675,15.71,15.8025,15.6075,nan,-0.24%
2021-02-01,15.7125,15.71,15.7738,15.545,nan,-0.13%
2021-01-01,15.7325,15.74,15.8,15.595,nan,0.27%
2020-12-01,15.69,15.64,15.78,15.6,nan,0.51%
2020-11-01,15.61,15.69,15.765,15.55,nan,-0.19%
2020-10-01,15.64,15.76,15.87,15.6225,nan,-0.57%
2020-09-01,15.73,15.87,15.97,15.68,nan,-0.57%
2020-08-01,15.82,15.99,16.048,15.7832,nan,-0.63%
2020-07-01,15.92,16.14,16.195,15.7895,nan,-1.18%
2020-06-01,16.11,15.89,16.265,15.75,nan,1.58%
2020-05-01,15.86,15.75,15.93,15.58,nan,1.02%
2020-04-01,15.7,15.74,15.835,15.63,nan,0.06%
2020-03-01,15.69,15.6,15.85,15.54,nan,0.90%
2020-02-01,15.55,15.8,15.895,15.5025,nan,-1.27%
2020-01-01,15.75,16.04,16.12,15.725,nan,-1.56%
2019-12-01,16.0,16.1,16.215,15.9725,nan,-0.44%
2019-11-01,16.07,16.15,16.27,16.0425,nan,-0.12%
2019-10-01,16.09,16.27,16.37,16.07,nan,-0.86%
2019-09-01,16.23,16.56,16.65,16.2125,nan,-1.64%
2019-08-01,16.5,16.58,16.7,16.43,nan,0.00%
2019-07-01,16.5,16.7,16.745,16.4888,nan,-0.90%
2019-06-01,16.65,16.75,16.9,16.63,nan,-0.42%
2019-05-01,16.72,17.18,17.31,16.72,nan,-2.34%
2019-04-01,17.12,17.32,17.41,17.09,nan,-0.93%
2019-03-01,17.28,17.54,17.61,17.225,nan,-1.03%
2019-02-01,17.46,17.65,17.75,17.485,nan,-0.96%
2019-01-01,17.63,17.91,17.985,17.585,nan,-1.29%
